NMI,ARI,ACC,dataset,method,backbone,known_cls_ratio,labeled_ratio,cluster_num_factor,logger_file_name,seed
0.0,0.0,8.69,aries,UnsupUSNID,bert,0.0,0.1,1.0,UnsupUSNID_aries_bert_2026-01-23-13-21-15,42
0.0,0.0,8.11,aries,UnsupUSNID,bert,0.0,0.1,1.0,UnsupUSNID_aries_bert_2026-01-24-13-44-10,42
0.0,0.0,12.52,aries,UnsupUSNID,bert,0.0,0.1,1.0,UnsupUSNID_aries_bert_2026-01-26-08-44-02,42
0.0,0.0,16.59,aries,UnsupUSNID,bert,0.0,0.1,1.0,UnsupUSNID_aries_bert_2026-01-28-16-35-00,42
0.0,0.0,10.14,aries,UnsupUSNID,bert,0.0,0.1,1.0,UnsupUSNID_aries_bert_2026-01-29-09-37-06,42
0.0,0.0,2.13,aries,UnsupUSNID,bert,0.0,0.1,5.0,UnsupUSNID_aries_bert_2026-01-29-16-33-59,42
0.0,0.0,5.68,aries,UnsupUSNID,bert,0.0,0.1,2.0,UnsupUSNID_aries_bert_2026-01-30-14-10-15,42
100.0,100.0,100.0,aries,UnsupUSNID,bert,0.0,0.1,2.0,UnsupUSNID_aries_bert_2026-02-01-10-40-33,42
0.0,0.0,10.78,aries,UnsupUSNID,bert,0.0,0.1,2.0,UnsupUSNID_aries_bert_2026-02-01-11-21-02,42
0.0,0.0,11.84,aries,UnsupUSNID,bert,0.0,0.1,2.0,UnsupUSNID_aries_bert_2026-02-09-08-33-35,42
0.0,0.0,10.15,aries,UnsupUSNID,bert,0.0,0.1,2.0,UnsupUSNID_aries_bert_2026-02-09-22-23-25,42
0.0,0.0,17.24,aries,UnsupUSNID,bert,0.0,0.1,2.0,UnsupUSNID_aries_bert_2026-02-11-08-25-18,42
0.0,0.0,26.25,aries,UnsupUSNID,bert,0.0,0.1,2.0,UnsupUSNID_aries_bert_2026-02-12-09-07-29,42
0.0,0.0,15.18,aries,UnsupUSNID,bert,0.0,0.1,2.0,UnsupUSNID_aries_bert_2026-02-14-02-53-04,42
0.0,0.0,15.18,aries,UnsupUSNID,bert,0.0,0.1,2.0,UnsupUSNID_aries_bert_2026-02-14-15-40-16,42
0.0,0.0,6.68,aries,UnsupUSNID,bert,0.0,0.1,2.0,UnsupUSNID_aries_bert_2026-02-16-01-34-45,42
0.0,0.0,5.83,aries,UnsupUSNID,bert,0.0,0.1,2.0,UnsupUSNID_aries_bert_2026-02-18-10-48-36,42
0.0,0.0,29.36,aries,UnsupUSNID,bert,0.0,0.1,2.0,UnsupUSNID_aries_bert_2026-02-23-16-45-32,42
0.0,0.0,9.79,aries,UnsupUSNID,bert,0.0,0.1,2.0,UnsupUSNID_aries_bert_2026-02-24-09-09-58,42
0.0,0.0,2.06,aries,UnsupUSNID,bert,0.0,0.1,4.0,UnsupUSNID_aries_bert_2026-02-25-08-31-34,42
0.0,0.0,9.36,aries,UnsupUSNID,bert,0.0,0.1,4.0,UnsupUSNID_aries_bert_2026-02-26-08-26-40,42
0.0,0.0,3.92,aries,UnsupUSNID,bert,0.0,0.1,4.0,UnsupUSNID_aries_bert_2026-02-27-08-43-36,42
0.0,0.0,3.92,aries,UnsupUSNID,bert,0.0,0.1,4.0,UnsupUSNID_aries_bert_2026-03-02-11-07-48,42
0.0,0.0,3.03,aries,UnsupUSNID,bert,0.0,0.1,2.0,UnsupUSNID_aries_bert_2026-03-04-11-20-30,0
0.0,0.0,2.8,aries,UnsupUSNID,bert,0.0,0.1,2.0,UnsupUSNID_aries_bert_2026-03-04-23-23-49,1
0.0,0.0,3.88,aries,UnsupUSNID,bert,0.0,0.1,2.0,UnsupUSNID_aries_bert_2026-03-05-11-20-59,2
0.0,0.0,2.45,aries,UnsupUSNID,bert,0.0,0.1,3.0,UnsupUSNID_aries_bert_2026-03-06-00-21-32,0
0.0,0.0,2.68,aries,UnsupUSNID,bert,0.0,0.1,3.0,UnsupUSNID_aries_bert_2026-03-06-13-10-08,1
0.0,0.0,2.88,aries,UnsupUSNID,bert,0.0,0.1,2.0,UnsupUSNID_aries_bert_2026-03-12-15-46-29,0
0.0,0.0,3.19,aries,UnsupUSNID,bert,0.0,0.1,2.0,UnsupUSNID_aries_bert_2026-03-13-05-24-22,1
0.0,0.0,3.97,aries,UnsupUSNID,bert,0.0,0.1,2.0,UnsupUSNID_aries_bert_2026-03-13-19-21-53,2
0.0,0.0,3.03,aries,UnsupUSNID,bert,0.0,0.1,3.0,UnsupUSNID_aries_bert_2026-03-14-08-53-50,0
0.0,0.0,2.49,aries,UnsupUSNID,bert,0.0,0.1,3.0,UnsupUSNID_aries_bert_2026-03-14-22-02-03,1
